Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
451,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour12,Hour8,None,3A,"AL, Jefferson County",Non-CBSA East South Central,AL,CR09,East South Central,East South Central,South,None,Mixed-Humid,"AL, 01304",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,500-749,0-1499,2,8,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,70F,Yes,Yes,3F,9F,Night Setback +5h,Day -5h,Standard Efficiency,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% Incandescent,123%,None,None,None,None,None,None,Yes,"30% Leakage, R-4",15 ACH50
452,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour18,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03717",20 to 49 Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Slab,Masonry,750-999,0-1499,3,42,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,7,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,80F,76F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,None,None,None,100% CFL,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
453,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour16,None,5A,"IA, Polk County",Non-CBSA West North Central,IA,CR02,West North Central,West North Central,Midwest,MISO,Cold,"IA, 01700",20 to 49 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,20 to 49 Units low,Slab,WoodStud,0-499,0-1499,2,24,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,Uninsulated,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,"Room AC, EER 10.7",68F,68F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% Incandescent,86%,None,None,None,None,None,None,No,None,15 ACH50
454,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,Gas Fireplace,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour15,None,4A,"NJ, Middlesex County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NJ,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"NJ, 00906",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,500-749,0-1499,1,2,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,4,None,R-38,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% Incandescent,119%,None,None,None,None,None,None,No,None,50 ACH50
455,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour12,None,5A,"CT, New Haven County",Non-CBSA New England,CT,CR03,New England,New England,Northeast,NEISO,Cold,"CT, 00902",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,750-999,0-1499,1,2,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,4,None,R-19,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,68F,Yes,No,3F,0F,None,Night -4h,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,121%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",25 ACH50
456,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour13,Hour17,None,4A,"NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03808",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,0-499,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,"Room AC, EER 10.7",67F,75F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,89%,None,None,None,None,None,None,No,None,20 ACH50
457,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour19,Hour17,None,3B,"CA, Orange County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 05904",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,1000-1499,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-19,"CMU, 6-in Hollow, R-19",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,75F,70F,Yes,Yes,6F,9F,Day Setup +4h,Day and Night +3h,Standard Efficiency,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",10 ACH50
458,Low,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,5A,"PA, Allegheny County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01804",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,750-999,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,7,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,"Room AC, EER 10.7",70F,70F,Yes,Yes,12F,2F,Day Setup -2h,Day -5h,Standard Efficiency,EF 17.6,"Propane, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,89%,None,None,None,None,None,None,No,None,8 ACH50
459,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,5A,"IN, Marion County",Non-CBSA East North Central,IN,CR04,East North Central,East North Central,Midwest,MISO,Cold,"IN, 02305",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,50 or more Units high,Unheated Basement,WoodStud,0-499,0-1499,3,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,Electricity Shared Heating,"Room AC, EER 10.7",68F,76F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% CFL,89%,None,"EF 12, National Average",None,None,None,None,No,None,50 ACH50
460,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour21,None,3B,"CA, Orange County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 05903",50 or more Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,Masonry,750-999,0-1499,2,54,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,None,None,R-7,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Propane,Propane Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,75F,Yes,No,12F,0F,None,Night -1h,Standard Efficiency,EF 17.6,"Gas, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,93%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",10 ACH50
461,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour10,None,5B,"ID, Ada County",Non-CBSA Mountain,ID,CR05,Mountain,Mountain North,West,None,Cold,"ID, 00800",3 or 4 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Electricity,<5,Crawl,Masonry,750-999,0-1499,1,3,None,None,2,Double-Loaded Interior,No,1,Occupied,F9 B9 L9 R9,4,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,68F,Yes,No,6F,0F,None,Night -4h,Standard Efficiency,EF 10.5,"Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,96%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",20 ACH50
462,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour12,None,4A,"MD, Montgomery County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",MD,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"MD, 01004",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Unheated Basement,Masonry,1000-1499,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-38,None,None,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Premium,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,No,Yes,0F,2F,Day Setup +1h,None,Standard Efficiency,EF 10.5,"Electric, 120% Usage",None,None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-6",20 ACH50
463,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour16,None,4A,"NY, Queens County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 04105",2 Unit,1950s,1940-59,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,750-999,0-1499,1,2,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F6 B6 L6 R6,27,None,R-19,None,None,Composition Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,72F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Gas, 120% Usage",None,Yes,"Standard, 120% Usage","Gas, 120% Usage",100% CFL,119%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
464,High,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour22,None,3B,"CA, Orange County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 05901",3 or 4 Unit,1970s,1960-79,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,Masonry,1000-1499,0-1499,1,3,None,None,3,Double-Loaded Interior,No,2,Occupied,F18 B18 L18 R18,27,None,R-13,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,72F,Yes,Yes,12F,5F,Day Setup +1h,Night -4h,Standard Efficiency,EF 15.9,"Gas, 120% Usage",None,None,None,None,100% LED,102%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
465,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour16,None,5B,"CO, Denver County",Non-CBSA Mountain,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 00812",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Slab,WoodStud,750-999,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-30,"Wood Stud, R-19",2+ Pane,No,Natural Gas,Natural Gas Premium,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,62F,No,Yes,0F,2F,Day Setup,None,Standard Efficiency,EF 10.2,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,105%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",15 ACH50
466,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour9,None,4A,"VA, Prince William County","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",VA,CR08,South Atlantic,South Atlantic,South,PJM,Mixed-Humid,"VA, 51246",10 to 19 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Unheated Basement,WoodStud,1000-1499,0-1499,3,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,12,None,R-38,None,None,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,75F,No,Yes,0F,5F,Day and Night Setup -2h,None,None,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",15 ACH50
467,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour18,None,5B,"CO, Douglas County",Non-CBSA Mountain,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 00822",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Natural Gas,10 to 19 Units low,Crawl,WoodStud,750-999,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,67F,68F,Yes,No,12F,0F,None,Night -3h,Standard Efficiency,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,105%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
468,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour2,Hour15,None,5B,"CO, El Paso County",Non-CBSA Mountain,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 04102",3 or 4 Unit,1980s,1980-99,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,Masonry,750-999,0-1499,1,4,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,27,None,R-7,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,65F,67F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,96%,EF 15.9,None,None,None,None,None,Yes,"20% Leakage, R-4",20 ACH50
469,Medium,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour13,None,5A,"PA, Washington County",Non-CBSA Middle Atlantic,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 04001",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Slab,WoodStud,1000-1499,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F6 B6 L6 R6,12,None,R-30,None,None,Composition Shingles,Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,72F,70F,Yes,Yes,6F,2F,Day Setup -4h,Night +3h,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,119%,None,None,None,None,None,None,No,None,40 ACH50
470,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour20,None,4A,"TN, Davidson County",Non-CBSA East South Central,TN,CR08,East South Central,East South Central,South,None,Mixed-Humid,"TN, 02505",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Crawl,Masonry,750-999,0-1499,3,18,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F6 B6 L6 R6,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,70F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,123%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
