Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	MA, 00301	0.963918	0.0360815	468	11086	468	11086
Single-Family Attached	MA, 00301	0.964441	0.0355591	116	2531	116	2531
Single-Family Detached	MA, 00301	0.939136	0.0608642	1340	25943	1340	25943
Mobile Home	MA, 00302	0.865221	0.134779	57	1061	57	1061
Multi-Family with 2 - 4 Units	MA, 00302	0.821837	0.178163	286	6292	286	6292
Multi-Family with 5+ Units	MA, 00302	0.89031	0.10969	202	4066	202	4066
Single-Family Attached	MA, 00302	0.987208	0.0127922	149	2267	149	2267
Single-Family Detached	MA, 00302	0.944812	0.0551877	2287	36548	2287	36548
Mobile Home	MA, 00303	0.843116	0.156884	7	130	1212	24687
Multi-Family with 2 - 4 Units	MA, 00303	0.906453	0.0935472	262	5548	262	5548
Multi-Family with 5+ Units	MA, 00303	0.898499	0.101501	347	8394	347	8394
Single-Family Attached	MA, 00303	0.926168	0.0738322	225	3982	225	3982
Single-Family Detached	MA, 00303	0.959212	0.0407876	1596	29151	1596	29151
Mobile Home	MA, 00304	0.607843	0.392157	30	459	30	459
Multi-Family with 2 - 4 Units	MA, 00304	0.887905	0.112095	554	11740	554	11740
Multi-Family with 5+ Units	MA, 00304	0.943734	0.0562663	317	7269	317	7269
Single-Family Attached	MA, 00304	0.930399	0.0696006	199	4181	199	4181
Single-Family Detached	MA, 00304	0.948921	0.0510786	1853	38940	1853	38940
Mobile Home	MA, 00400	0.891566	0.108434	22	415	22	415
Multi-Family with 2 - 4 Units	MA, 00400	0.873193	0.126807	159	4219	159	4219
Multi-Family with 5+ Units	MA, 00400	0.921483	0.0785169	119	2751	119	2751
Single-Family Attached	MA, 00400	0.968173	0.0318266	95	2168	95	2168
Single-Family Detached	MA, 00400	0.922286	0.077714	1889	34331	1889	34331
Mobile Home	MA, 00501	1	0	15	329	15	329
Multi-Family with 2 - 4 Units	MA, 00501	0.900498	0.0995025	113	2613	113	2613
Multi-Family with 5+ Units	MA, 00501	0.980261	0.0197389	244	6434	244	6434
Single-Family Attached	MA, 00501	0.94359	0.0564103	134	2925	134	2925
Single-Family Detached	MA, 00501	0.976234	0.0237658	1778	32694	1778	32694
Mobile Home	MA, 00502	0.843116	0.156884	6	88	1212	24687
Multi-Family with 2 - 4 Units	MA, 00502	0.920869	0.0791307	541	11917	541	11917
Multi-Family with 5+ Units	MA, 00502	0.942971	0.0570291	599	14063	599	14063
Single-Family Attached	MA, 00502	0.93291	0.0670898	111	2206	111	2206
Single-Family Detached	MA, 00502	0.965068	0.0349319	677	13512	677	13512
Mobile Home	MA, 00503	0.843116	0.156884	5	165	1212	24687
Multi-Family with 2 - 4 Units	MA, 00503	0.935387	0.0646132	337	8311	337	8311
Multi-Family with 5+ Units	MA, 00503	0.909789	0.0902109	597	13801	597	13801
Single-Family Attached	MA, 00503	0.951163	0.0488372	204	3870	204	3870
Single-Family Detached	MA, 00503	0.975492	0.0245075	1611	30154	1611	30154
Mobile Home	MA, 00504	0.834211	0.165789	22	760	22	760
Multi-Family with 2 - 4 Units	MA, 00504	0.927644	0.0723562	283	8085	283	8085
Multi-Family with 5+ Units	MA, 00504	0.927379	0.0726213	633	17667	633	17667
Single-Family Attached	MA, 00504	0.912331	0.0876691	141	3844	141	3844
Single-Family Detached	MA, 00504	0.971832	0.0281677	1493	31348	1493	31348
Mobile Home	MA, 00505	0.843116	0.156884	1	38	1212	24687
Multi-Family with 2 - 4 Units	MA, 00505	0.927318	0.0726821	928	17721	928	17721
Multi-Family with 5+ Units	MA, 00505	0.932946	0.0670538	463	10678	463	10678
Single-Family Attached	MA, 00505	0.944024	0.0559758	218	3966	218	3966
Single-Family Detached	MA, 00505	0.978623	0.0213767	1408	22735	1408	22735
Mobile Home	MA, 00506	0.843116	0.156884	1	18	1212	24687
Multi-Family with 2 - 4 Units	MA, 00506	0.905633	0.094367	942	15143	942	15143
Multi-Family with 5+ Units	MA, 00506	0.887914	0.112086	1619	29290	1619	29290
Single-Family Attached	MA, 00506	0.976134	0.0238663	194	2933	194	2933
Single-Family Detached	MA, 00506	0.941085	0.0589151	315	4498	315	4498
Mobile Home	MA, 00507	0.843116	0.156884	4	116	1212	24687
Multi-Family with 2 - 4 Units	MA, 00507	0.927287	0.0727132	1326	28468	1326	28468
Multi-Family with 5+ Units	MA, 00507	0.966764	0.0332365	557	13419	557	13419
Single-Family Attached	MA, 00507	0.966577	0.0334234	137	2962	137	2962
Single-Family Detached	MA, 00507	0.96139	0.03861	393	6734	393	6734
Mobile Home	MA, 00508	0.843116	0.156884	8	149	1212	24687
Multi-Family with 2 - 4 Units	MA, 00508	0.922417	0.0775831	667	16782	667	16782
Multi-Family with 5+ Units	MA, 00508	0.950831	0.0491691	523	14562	523	14562
Single-Family Attached	MA, 00508	0.924455	0.0755445	132	3627	132	3627
Single-Family Detached	MA, 00508	0.97917	0.0208302	630	13394	630	13394
Mobile Home	MA, 00701	0.843116	0.156884	7	180	1212	24687
Multi-Family with 2 - 4 Units	MA, 00701	0.935234	0.0647658	943	22095	943	22095
Multi-Family with 5+ Units	MA, 00701	0.939175	0.0608252	747	16457	747	16457
Single-Family Attached	MA, 00701	0.950845	0.0491554	314	6571	314	6571
Single-Family Detached	MA, 00701	0.961526	0.0384745	1501	26719	1501	26719
Mobile Home	MA, 00702	1	0	17	395	17	395
Multi-Family with 2 - 4 Units	MA, 00702	0.912142	0.0878581	148	3665	148	3665
Multi-Family with 5+ Units	MA, 00702	0.943618	0.0563816	294	6793	294	6793
Single-Family Attached	MA, 00702	0.92115	0.0788497	148	3234	148	3234
Single-Family Detached	MA, 00702	0.969518	0.0304824	1549	28377	1549	28377
Mobile Home	MA, 00703	0.648101	0.351899	21	395	21	395
Multi-Family with 2 - 4 Units	MA, 00703	0.883148	0.116852	960	21523	960	21523
Multi-Family with 5+ Units	MA, 00703	0.919893	0.0801066	707	16141	707	16141
Single-Family Attached	MA, 00703	0.922938	0.0770621	288	6086	288	6086
Single-Family Detached	MA, 00703	0.913969	0.086031	2679	49796	2679	49796
Mobile Home	MA, 00704	0.843116	0.156884	4	64	1212	24687
Multi-Family with 2 - 4 Units	MA, 00704	0.942467	0.0575334	582	13314	582	13314
Multi-Family with 5+ Units	MA, 00704	0.97301	0.0269896	497	10819	497	10819
Single-Family Attached	MA, 00704	0.980044	0.0199557	88	1804	88	1804
Single-Family Detached	MA, 00704	0.955021	0.0449794	943	15785	943	15785
Mobile Home	MA, 01000	0.950437	0.0495627	25	686	25	686
Multi-Family with 2 - 4 Units	MA, 01000	0.945624	0.0543758	253	6216	253	6216
Multi-Family with 5+ Units	MA, 01000	0.921285	0.0787147	443	11764	443	11764
Single-Family Attached	MA, 01000	0.991466	0.00853432	124	2695	124	2695
Single-Family Detached	MA, 01000	0.978295	0.0217049	1506	32389	1506	32389
Mobile Home	MA, 01300	0.843116	0.156884	9	252	1212	24687
Multi-Family with 2 - 4 Units	MA, 01300	0.973234	0.0267661	95	2279	95	2279
Multi-Family with 5+ Units	MA, 01300	0.960284	0.0397161	293	7327	293	7327
Single-Family Attached	MA, 01300	0.964097	0.0359029	148	2841	148	2841
Single-Family Detached	MA, 01300	0.977756	0.0222444	1926	36144	1926	36144
Mobile Home	MA, 01400	0.904977	0.0950226	20	442	20	442
Multi-Family with 2 - 4 Units	MA, 01400	0.932426	0.0675743	173	4040	173	4040
Multi-Family with 5+ Units	MA, 01400	0.92578	0.0742198	308	7626	308	7626
Single-Family Attached	MA, 01400	0.941923	0.0580774	155	2996	155	2996
Single-Family Detached	MA, 01400	0.970405	0.0295955	1869	32978	1869	32978
Mobile Home	MA, 01600	0.800276	0.199724	73	1447	73	1447
Multi-Family with 2 - 4 Units	MA, 01600	0.902728	0.097272	484	10044	484	10044
Multi-Family with 5+ Units	MA, 01600	0.922917	0.0770828	359	7226	359	7226
Single-Family Attached	MA, 01600	0.920642	0.0793584	132	2369	132	2369
Single-Family Detached	MA, 01600	0.928484	0.0715162	2863	42410	2863	42410
Mobile Home	MA, 01900	0.914634	0.0853659	36	574	36	574
Multi-Family with 2 - 4 Units	MA, 01900	0.827651	0.172349	693	19269	693	19269
Multi-Family with 5+ Units	MA, 01900	0.92409	0.0759105	623	13674	623	13674
Single-Family Attached	MA, 01900	0.949153	0.0508475	140	2360	140	2360
Single-Family Detached	MA, 01900	0.955781	0.0442194	1402	26165	1402	26165
Mobile Home	MA, 01901	0.97861	0.0213904	24	561	24	561
Multi-Family with 2 - 4 Units	MA, 01901	0.888279	0.111721	476	12021	476	12021
Multi-Family with 5+ Units	MA, 01901	0.942035	0.0579649	613	14181	613	14181
Single-Family Attached	MA, 01901	0.978653	0.0213472	120	2108	120	2108
Single-Family Detached	MA, 01901	0.962619	0.0373809	1666	33386	1666	33386
Mobile Home	MA, 01902	0.860908	0.139092	29	683	29	683
Multi-Family with 2 - 4 Units	MA, 01902	0.87389	0.12611	336	7882	336	7882
Multi-Family with 5+ Units	MA, 01902	0.935812	0.0641882	260	6590	260	6590
Single-Family Attached	MA, 01902	0.991228	0.00877193	112	2280	112	2280
Single-Family Detached	MA, 01902	0.962626	0.0373736	1720	35212	1720	35212
Mobile Home	MA, 02400	0.843116	0.156884	4	82	1212	24687
Multi-Family with 2 - 4 Units	MA, 02400	0.924116	0.0758836	202	4810	202	4810
Multi-Family with 5+ Units	MA, 02400	0.906914	0.0930863	183	4426	183	4426
Single-Family Attached	MA, 02400	0.978714	0.0212862	208	4416	208	4416
Single-Family Detached	MA, 02400	0.974366	0.0256341	1747	33120	1747	33120
Mobile Home	MA, 02800	0.86558	0.13442	10	491	10	491
Multi-Family with 2 - 4 Units	MA, 02800	0.933452	0.066548	346	8430	346	8430
Multi-Family with 5+ Units	MA, 02800	0.925239	0.0747609	527	13804	527	13804
Single-Family Attached	MA, 02800	0.97425	0.0257497	127	3068	127	3068
Single-Family Detached	MA, 02800	0.970864	0.0291365	1600	35042	1600	35042
Mobile Home	MA, 03301	0.843116	0.156884	4	83	1212	24687
Multi-Family with 2 - 4 Units	MA, 03301	0.95121	0.04879	542	10248	542	10248
Multi-Family with 5+ Units	MA, 03301	0.918761	0.0812387	1740	31389	1740	31389
Single-Family Attached	MA, 03301	0.954044	0.0459559	67	1088	67	1088
Single-Family Detached	MA, 03301	0.959834	0.0401662	118	2166	118	2166
Mobile Home	MA, 03302	0.843116	0.156884	7	203	1212	24687
Multi-Family with 2 - 4 Units	MA, 03302	0.904703	0.0952968	1291	26748	1291	26748
Multi-Family with 5+ Units	MA, 03302	0.867162	0.132838	2608	50091	2608	50091
Single-Family Attached	MA, 03302	0.946919	0.0530806	225	4220	225	4220
Single-Family Detached	MA, 03302	0.977047	0.0229533	142	2614	142	2614
Mobile Home	MA, 03303	0.843116	0.156884	0	0	1212	24687
Multi-Family with 2 - 4 Units	MA, 03303	0.897059	0.102941	1308	29007	1308	29007
Multi-Family with 5+ Units	MA, 03303	0.894773	0.105227	776	16032	776	16032
Single-Family Attached	MA, 03303	0.923342	0.0766578	181	3770	181	3770
Single-Family Detached	MA, 03303	0.947927	0.0520728	291	5934	291	5934
Mobile Home	MA, 03304	0.843116	0.156884	5	72	1212	24687
Multi-Family with 2 - 4 Units	MA, 03304	0.900016	0.0999842	1141	25254	1141	25254
Multi-Family with 5+ Units	MA, 03304	0.93775	0.06225	788	19502	788	19502
Single-Family Attached	MA, 03304	0.932456	0.0675437	240	5093	240	5093
Single-Family Detached	MA, 03304	0.933579	0.0664215	223	4622	223	4622
Mobile Home	MA, 03305	0.746324	0.253676	10	272	10	272
Multi-Family with 2 - 4 Units	MA, 03305	0.945804	0.0541958	998	20020	998	20020
Multi-Family with 5+ Units	MA, 03305	0.957664	0.0423365	558	12566	558	12566
Single-Family Attached	MA, 03305	0.954241	0.0457595	190	4174	190	4174
Single-Family Detached	MA, 03305	0.964519	0.0354805	1091	19250	1091	19250
Mobile Home	MA, 03306	0.864341	0.135659	13	258	13	258
Multi-Family with 2 - 4 Units	MA, 03306	0.923782	0.0762175	739	18316	739	18316
Multi-Family with 5+ Units	MA, 03306	0.955467	0.0445328	613	12575	613	12575
Single-Family Attached	MA, 03306	0.935369	0.064631	99	1965	99	1965
Single-Family Detached	MA, 03306	0.959564	0.0404363	511	9719	511	9719
Mobile Home	MA, 03400	0.843116	0.156884	3	64	1212	24687
Multi-Family with 2 - 4 Units	MA, 03400	0.930218	0.0697822	655	12625	655	12625
Multi-Family with 5+ Units	MA, 03400	0.926231	0.0737687	863	18802	863	18802
Single-Family Attached	MA, 03400	0.975045	0.0249545	218	3847	218	3847
Single-Family Detached	MA, 03400	0.955816	0.0441836	1420	23176	1420	23176
Mobile Home	MA, 03500	0.843116	0.156884	5	97	1212	24687
Multi-Family with 2 - 4 Units	MA, 03500	0.902353	0.0976471	83	1700	83	1700
Multi-Family with 5+ Units	MA, 03500	0.930023	0.0699774	202	3987	202	3987
Single-Family Attached	MA, 03500	0.917127	0.0828729	85	1448	85	1448
Single-Family Detached	MA, 03500	0.952002	0.0479977	1876	31814	1876	31814
Mobile Home	MA, 03601	0.843116	0.156884	0	0	1212	24687
Multi-Family with 2 - 4 Units	MA, 03601	0.932718	0.0672823	149	3790	149	3790
Multi-Family with 5+ Units	MA, 03601	0.950986	0.0490137	254	6590	254	6590
Single-Family Attached	MA, 03601	0.946069	0.0539308	179	3727	179	3727
Single-Family Detached	MA, 03601	0.976742	0.0232584	1828	35299	1828	35299
Mobile Home	MA, 03602	1	0	10	221	10	221
Multi-Family with 2 - 4 Units	MA, 03602	0.931901	0.0680991	248	5771	248	5771
Multi-Family with 5+ Units	MA, 03602	0.937056	0.0629437	403	10565	403	10565
Single-Family Attached	MA, 03602	0.960933	0.0390669	152	3558	152	3558
Single-Family Detached	MA, 03602	0.963589	0.0364109	1427	29222	1427	29222
Mobile Home	MA, 03603	0.843116	0.156884	4	109	1212	24687
Multi-Family with 2 - 4 Units	MA, 03603	0.909388	0.0906122	465	11941	465	11941
Multi-Family with 5+ Units	MA, 03603	0.944448	0.0555524	718	17425	718	17425
Single-Family Attached	MA, 03603	0.966499	0.0335008	123	2388	123	2388
Single-Family Detached	MA, 03603	0.959413	0.0405871	1036	21189	1036	21189
Mobile Home	MA, 03900	0.843116	0.156884	8	177	1212	24687
Multi-Family with 2 - 4 Units	MA, 03900	0.928226	0.0717744	209	4751	209	4751
Multi-Family with 5+ Units	MA, 03900	0.920923	0.0790767	547	14037	547	14037
Single-Family Attached	MA, 03900	0.960071	0.0399293	125	2830	125	2830
Single-Family Detached	MA, 03900	0.948808	0.0511918	1849	36080	1849	36080
Mobile Home	MA, 04000	1	0	12	159	12	159
Multi-Family with 2 - 4 Units	MA, 04000	0.890985	0.109015	461	11980	461	11980
Multi-Family with 5+ Units	MA, 04000	0.935402	0.0645976	410	9505	410	9505
Single-Family Attached	MA, 04000	0.98306	0.0169399	80	1830	80	1830
Single-Family Detached	MA, 04000	0.960675	0.0393249	1365	23700	1365	23700
Mobile Home	MA, 04200	0.91817	0.0818299	52	1552	52	1552
Multi-Family with 2 - 4 Units	MA, 04200	0.878681	0.121319	291	7369	291	7369
Multi-Family with 5+ Units	MA, 04200	0.881409	0.118591	243	6358	243	6358
Single-Family Attached	MA, 04200	0.917827	0.0821733	89	2227	89	2227
Single-Family Detached	MA, 04200	0.964198	0.0358019	1409	34635	1409	34635
Mobile Home	MA, 04301	0.880667	0.119333	58	1500	58	1500
Multi-Family with 2 - 4 Units	MA, 04301	0.918084	0.0819156	107	3174	107	3174
Multi-Family with 5+ Units	MA, 04301	0.932553	0.0674475	86	2476	86	2476
Single-Family Attached	MA, 04301	0.808679	0.191321	51	1014	51	1014
Single-Family Detached	MA, 04301	0.849208	0.150792	1836	40148	1836	40148
Mobile Home	MA, 04302	0.843116	0.156884	4	81	1212	24687
Multi-Family with 2 - 4 Units	MA, 04302	0.872637	0.127363	845	20791	845	20791
Multi-Family with 5+ Units	MA, 04302	0.890111	0.109889	505	12549	505	12549
Single-Family Attached	MA, 04302	0.970886	0.0291139	47	790	47	790
Single-Family Detached	MA, 04302	0.966667	0.0333333	829	15810	829	15810
Mobile Home	MA, 04303	0.913934	0.0860656	55	1464	55	1464
Multi-Family with 2 - 4 Units	MA, 04303	0.888064	0.111936	343	9568	343	9568
Multi-Family with 5+ Units	MA, 04303	0.918989	0.0810109	283	7320	283	7320
Single-Family Attached	MA, 04303	0.952802	0.0471976	133	3051	133	3051
Single-Family Detached	MA, 04303	0.979218	0.0207819	1384	29160	1384	29160
Mobile Home	MA, 04500	0.843116	0.156884	6	101	1212	24687
Multi-Family with 2 - 4 Units	MA, 04500	0.880183	0.119817	1095	20790	1095	20790
Multi-Family with 5+ Units	MA, 04500	0.945178	0.0548216	511	9613	511	9613
Single-Family Attached	MA, 04500	0.914168	0.0858325	69	967	69	967
Single-Family Detached	MA, 04500	0.923892	0.0761077	1156	18303	1156	18303
Mobile Home	MA, 04700	0.917073	0.0829268	11	205	11	205
Multi-Family with 2 - 4 Units	MA, 04700	0.755315	0.244685	211	4986	211	4986
Multi-Family with 5+ Units	MA, 04700	0.749953	0.250047	254	5287	254	5287
Single-Family Attached	MA, 04700	0.715022	0.284978	184	3881	184	3881
Single-Family Detached	MA, 04700	0.6817	0.3183	2969	65589	2969	65589
Mobile Home	MA, 04800	0.156584	0.843416	25	562	25	562
Multi-Family with 2 - 4 Units	MA, 04800	0.532026	0.467974	317	7650	317	7650
Multi-Family with 5+ Units	MA, 04800	0.57185	0.42815	270	5769	270	5769
Single-Family Attached	MA, 04800	0.492509	0.507491	197	4205	197	4205
Single-Family Detached	MA, 04800	0.416724	0.583276	4493	95670	4493	95670
Mobile Home	MA, 04901	0.885522	0.114478	44	891	44	891
Multi-Family with 2 - 4 Units	MA, 04901	0.87296	0.12704	248	6006	248	6006
Multi-Family with 5+ Units	MA, 04901	0.931911	0.0680894	233	5904	233	5904
Single-Family Attached	MA, 04901	0.960431	0.0395694	179	3437	179	3437
Single-Family Detached	MA, 04901	0.971742	0.0282582	1529	28735	1529	28735
Mobile Home	MA, 04902	0.914718	0.085282	103	2181	103	2181
Multi-Family with 2 - 4 Units	MA, 04902	0.871965	0.128035	90	3007	90	3007
Multi-Family with 5+ Units	MA, 04902	0.953101	0.0468986	100	2644	100	2644
Single-Family Attached	MA, 04902	0.959922	0.0400776	74	1547	74	1547
Single-Family Detached	MA, 04902	0.960702	0.0392982	1763	33513	1763	33513
Mobile Home	MA, 04903	0.788835	0.211165	52	1236	52	1236
Multi-Family with 2 - 4 Units	MA, 04903	0.87109	0.12891	124	3165	124	3165
Multi-Family with 5+ Units	MA, 04903	0.927183	0.0728173	213	5452	213	5452
Single-Family Attached	MA, 04903	0.933133	0.0668666	154	3335	154	3335
Single-Family Detached	MA, 04903	0.861908	0.138092	1998	45238	1998	45238
Mobile Home	MD, 00100	0.690663	0.309337	167	2806	167	2806
Multi-Family with 2 - 4 Units	MD, 00100	0.652897	0.347103	179	3365	179	3365
Multi-Family with 5+ Units	MD, 00100	0.846363	0.153637	266	4042	266	4042
Single-Family Attached	MD, 00100	0.6153	0.3847	203	3634	203	3634
Single-Family Detached	MD, 00100	0.782293	0.217707	2461	38391	2461	38391
Mobile Home	MD, 00200	0.856122	0.143878	97	2099	97	2099
Multi-Family with 2 - 4 Units	MD, 00200	0.865972	0.134028	196	4223	196	4223
Multi-Family with 5+ Units	MD, 00200	0.847202	0.152798	359	8364	359	8364
Single-Family Attached	MD, 00200	0.911824	0.0881759	437	9413	437	9413
Single-Family Detached	MD, 00200	0.933328	0.066672	2040	37407	2040	37407
Mobile Home	MD, 00301	0.825635	0.174365	36	866	36	866
Multi-Family with 2 - 4 Units	MD, 00301	0.759594	0.240406	54	886	54	886
Multi-Family with 5+ Units	MD, 00301	0.940753	0.059247	102	1806	102	1806
Single-Family Attached	MD, 00301	0.977618	0.0223822	296	5138	296	5138
Single-Family Detached	MD, 00301	0.961555	0.0384447	2692	38809	2692	38809
Mobile Home	MD, 00302	0.769098	0.230902	7	205	1561	34140
Multi-Family with 2 - 4 Units	MD, 00302	0.921377	0.0786228	107	1946	107	1946
Multi-Family with 5+ Units	MD, 00302	0.918061	0.0819394	466	12375	466	12375
Single-Family Attached	MD, 00302	0.953342	0.046658	719	14617	719	14617
Single-Family Detached	MD, 00302	0.950427	0.0495729	1240	20838	1240	20838
Mobile Home	MD, 00400	0.871412	0.128588	31	871	31	871
Multi-Family with 2 - 4 Units	MD, 00400	0.858199	0.141801	107	2299	107	2299
Multi-Family with 5+ Units	MD, 00400	0.914863	0.0851374	224	4804	224	4804
Single-Family Attached	MD, 00400	0.920205	0.0797947	331	6429	331	6429
Single-Family Detached	MD, 00400	0.970586	0.0294136	2957	49161	2957	49161
Mobile Home	MD, 00501	0.86789	0.13211	59	1090	59	1090
Multi-Family with 2 - 4 Units	MD, 00501	0.943452	0.0565476	33	672	33	672
Multi-Family with 5+ Units	MD, 00501	0.93385	0.0661497	248	6319	248	6319
Single-Family Attached	MD, 00501	0.916105	0.0838947	216	4899	216	4899
Single-Family Detached	MD, 00501	0.948012	0.0519883	2220	34854	2220	34854
Mobile Home	MD, 00502	0.769098	0.230902	1	9	1561	34140
Multi-Family with 2 - 4 Units	MD, 00502	0.935351	0.0646492	27	727	27	727
Multi-Family with 5+ Units	MD, 00502	0.894467	0.105533	572	19520	572	19520
Single-Family Attached	MD, 00502	0.939818	0.0601824	445	13376	445	13376
Single-Family Detached	MD, 00502	0.976554	0.0234458	825	19705	825	19705
Mobile Home	MD, 00503	0.769098	0.230902	3	87	1561	34140
Multi-Family with 2 - 4 Units	MD, 00503	0.972505	0.0274949	45	982	45	982
Multi-Family with 5+ Units	MD, 00503	0.911122	0.0888776	734	17766	734	17766
Single-Family Attached	MD, 00503	0.974488	0.0255125	350	6781	350	6781
Single-Family Detached	MD, 00503	0.961777	0.0382226	1510	24148	1510	24148
Mobile Home	MD, 00504	0.769098	0.230902	4	118	1561	34140
Multi-Family with 2 - 4 Units	MD, 00504	0.878197	0.121803	101	2307	101	2307
Multi-Family with 5+ Units	MD, 00504	0.901348	0.0986523	626	16695	626	16695
Single-Family Attached	MD, 00504	0.929361	0.0706386	747	12840	747	12840
Single-Family Detached	MD, 00504	0.948633	0.0513672	1241	18066	1241	18066
