Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	MA, 01000	Vacant	1	0	0	18	926	18	926
Single-Family Attached	MA, 01000	Occupied	0	0.824102	0.175898	123	2672	123	2672
Single-Family Attached	MA, 01000	Vacant	1	0	0	1	23	464	15978
Single-Family Detached	MA, 01000	Occupied	0	0.963517	0.036483	1491	31686	1491	31686
Single-Family Detached	MA, 01000	Vacant	1	0	0	15	703	15	703
Mobile Home	MA, 01300	Occupied	0	0.967851	0.0321491	8	182	1910	35522
Mobile Home	MA, 01300	Vacant	1	0	0	1	70	25	874
Multi-Family with 2 - 4 Units	MA, 01300	Occupied	0	0.414337	0.585663	93	2218	93	2218
Multi-Family with 2 - 4 Units	MA, 01300	Vacant	1	0	0	2	61	2604	88522
Multi-Family with 5+ Units	MA, 01300	Occupied	0	0.225128	0.774872	286	7036	286	7036
Multi-Family with 5+ Units	MA, 01300	Vacant	1	0	0	7	291	1791	67398
Single-Family Attached	MA, 01300	Occupied	0	0.841913	0.158087	144	2739	144	2739
Single-Family Attached	MA, 01300	Vacant	1	0	0	4	102	464	15978
Single-Family Detached	MA, 01300	Occupied	0	0.967685	0.0323147	1902	35340	1902	35340
Single-Family Detached	MA, 01300	Vacant	1	0	0	24	804	24	804
Mobile Home	MA, 01400	Occupied	0	0.895	0.105	19	400	19	400
Mobile Home	MA, 01400	Vacant	1	0	0	1	42	27	1018
Multi-Family with 2 - 4 Units	MA, 01400	Occupied	0	0.407486	0.592514	168	3767	168	3767
Multi-Family with 2 - 4 Units	MA, 01400	Vacant	1	0	0	5	273	2604	88522
Multi-Family with 5+ Units	MA, 01400	Occupied	0	0.245609	0.754391	297	7060	297	7060
Multi-Family with 5+ Units	MA, 01400	Vacant	1	0	0	11	566	11	566
Single-Family Attached	MA, 01400	Occupied	0	0.782424	0.217576	151	2822	151	2822
Single-Family Attached	MA, 01400	Vacant	1	0	0	4	174	464	15978
Single-Family Detached	MA, 01400	Occupied	0	0.958628	0.0413724	1843	32002	1843	32002
Single-Family Detached	MA, 01400	Vacant	1	0	0	26	976	26	976
Mobile Home	MA, 01600	Occupied	0	0.784111	0.215889	65	1158	65	1158
Mobile Home	MA, 01600	Vacant	1	0	0	8	289	184	3322
Multi-Family with 2 - 4 Units	MA, 01600	Occupied	0	0.251351	0.748649	456	9067	456	9067
Multi-Family with 2 - 4 Units	MA, 01600	Vacant	1	0	0	28	977	28	977
Multi-Family with 5+ Units	MA, 01600	Occupied	0	0.1426	0.8574	344	6669	344	6669
Multi-Family with 5+ Units	MA, 01600	Vacant	1	0	0	15	557	15	557
Single-Family Attached	MA, 01600	Occupied	0	0.627694	0.372306	127	2181	127	2181
Single-Family Attached	MA, 01600	Vacant	1	0	0	5	188	464	15978
Single-Family Detached	MA, 01600	Occupied	0	0.929045	0.0709551	2687	39377	2687	39377
Single-Family Detached	MA, 01600	Vacant	1	0	0	176	3033	176	3033
Mobile Home	MA, 01900	Occupied	0	0.758095	0.241905	34	525	34	525
Mobile Home	MA, 01900	Vacant	1	0	0	2	49	38	1206
Multi-Family with 2 - 4 Units	MA, 01900	Occupied	0	0.17996	0.82004	591	15948	591	15948
Multi-Family with 2 - 4 Units	MA, 01900	Vacant	1	0	0	102	3321	102	3321
Multi-Family with 5+ Units	MA, 01900	Occupied	0	0.0489079	0.951092	584	12636	584	12636
Multi-Family with 5+ Units	MA, 01900	Vacant	1	0	0	39	1038	39	1038
Single-Family Attached	MA, 01900	Occupied	0	0.253125	0.746875	135	2240	135	2240
Single-Family Attached	MA, 01900	Vacant	1	0	0	5	120	99	2660
Single-Family Detached	MA, 01900	Occupied	0	0.856486	0.143514	1366	25008	1366	25008
Single-Family Detached	MA, 01900	Vacant	1	0	0	36	1157	36	1157
Mobile Home	MA, 01901	Occupied	0	0.912568	0.0874317	23	549	23	549
Mobile Home	MA, 01901	Vacant	1	0	0	1	12	38	1260
Multi-Family with 2 - 4 Units	MA, 01901	Occupied	0	0.24602	0.75398	435	10678	435	10678
Multi-Family with 2 - 4 Units	MA, 01901	Vacant	1	0	0	41	1343	41	1343
Multi-Family with 5+ Units	MA, 01901	Occupied	0	0.0932705	0.90673	582	13359	582	13359
Multi-Family with 5+ Units	MA, 01901	Vacant	1	0	0	31	822	31	822
Single-Family Attached	MA, 01901	Occupied	0	0.618032	0.381968	117	2063	117	2063
Single-Family Attached	MA, 01901	Vacant	1	0	0	3	45	464	15978
Single-Family Detached	MA, 01901	Occupied	0	0.927282	0.0727177	1629	32138	1629	32138
Single-Family Detached	MA, 01901	Vacant	1	0	0	37	1248	37	1248
Mobile Home	MA, 01902	Occupied	0	0.843537	0.156463	27	588	27	588
Mobile Home	MA, 01902	Vacant	1	0	0	2	95	37	1411
Multi-Family with 2 - 4 Units	MA, 01902	Occupied	0	0.23766	0.76234	310	6888	310	6888
Multi-Family with 2 - 4 Units	MA, 01902	Vacant	1	0	0	26	994	26	994
Multi-Family with 5+ Units	MA, 01902	Occupied	0	0.0937247	0.906275	246	6167	246	6167
Multi-Family with 5+ Units	MA, 01902	Vacant	1	0	0	14	423	14	423
Single-Family Attached	MA, 01902	Occupied	0	0.725664	0.274336	111	2260	111	2260
Single-Family Attached	MA, 01902	Vacant	1	0	0	1	20	464	15978
Single-Family Detached	MA, 01902	Occupied	0	0.923708	0.0762922	1685	33896	1685	33896
Single-Family Detached	MA, 01902	Vacant	1	0	0	35	1316	35	1316
Mobile Home	MA, 02400	Occupied	0	0.965313	0.0346866	3	47	1726	32318
Mobile Home	MA, 02400	Vacant	1	0	0	1	35	25	884
Multi-Family with 2 - 4 Units	MA, 02400	Occupied	0	0.332733	0.667267	190	4445	190	4445
Multi-Family with 2 - 4 Units	MA, 02400	Vacant	1	0	0	12	365	12	365
Multi-Family with 5+ Units	MA, 02400	Occupied	0	0.188839	0.811161	174	4014	174	4014
Multi-Family with 5+ Units	MA, 02400	Vacant	1	0	0	9	412	1791	67398
Single-Family Attached	MA, 02400	Occupied	0	0.812124	0.187876	204	4322	204	4322
Single-Family Attached	MA, 02400	Vacant	1	0	0	4	94	464	15978
Single-Family Detached	MA, 02400	Occupied	0	0.965263	0.0347371	1723	32271	1723	32271
Single-Family Detached	MA, 02400	Vacant	1	0	0	24	849	24	849
Mobile Home	MA, 02800	Occupied	0	0.935174	0.0648261	9	425	1585	34446
Mobile Home	MA, 02800	Vacant	1	0	0	1	66	25	1087
Multi-Family with 2 - 4 Units	MA, 02800	Occupied	0	0.349727	0.650273	331	7869	331	7869
Multi-Family with 2 - 4 Units	MA, 02800	Vacant	1	0	0	15	561	15	561
Multi-Family with 5+ Units	MA, 02800	Occupied	0	0.232462	0.767538	506	12772	506	12772
Multi-Family with 5+ Units	MA, 02800	Vacant	1	0	0	21	1032	21	1032
Single-Family Attached	MA, 02800	Occupied	0	0.673135	0.326865	125	2989	125	2989
Single-Family Attached	MA, 02800	Vacant	1	0	0	2	79	464	15978
Single-Family Detached	MA, 02800	Occupied	0	0.936157	0.0638429	1576	34021	1576	34021
Single-Family Detached	MA, 02800	Vacant	1	0	0	24	1021	24	1021
Mobile Home	MA, 03301	Occupied	0	0.679001	0.320999	4	83	119	2162
Mobile Home	MA, 03301	Vacant	1	0	0	0	0	7	243
Multi-Family with 2 - 4 Units	MA, 03301	Occupied	0	0.232458	0.767542	527	9748	527	9748
Multi-Family with 2 - 4 Units	MA, 03301	Vacant	1	0	0	15	500	15	500
Multi-Family with 5+ Units	MA, 03301	Occupied	0	0.103575	0.896425	1660	28839	1660	28839
Multi-Family with 5+ Units	MA, 03301	Vacant	1	0	0	80	2550	80	2550
Single-Family Attached	MA, 03301	Occupied	0	0.320809	0.679191	65	1038	65	1038
Single-Family Attached	MA, 03301	Vacant	1	0	0	2	50	99	2660
Single-Family Detached	MA, 03301	Occupied	0	0.700818	0.299182	115	2079	115	2079
Single-Family Detached	MA, 03301	Vacant	1	0	0	3	87	274	8497
Mobile Home	MA, 03302	Occupied	0	0.737033	0.262967	7	203	148	2757
Mobile Home	MA, 03302	Vacant	1	0	0	0	0	7	243
Multi-Family with 2 - 4 Units	MA, 03302	Occupied	0	0.341006	0.658994	1203	24199	1203	24199
Multi-Family with 2 - 4 Units	MA, 03302	Vacant	1	0	0	88	2549	88	2549
Multi-Family with 5+ Units	MA, 03302	Occupied	0	0.260538	0.739462	2412	43437	2412	43437
Multi-Family with 5+ Units	MA, 03302	Vacant	1	0	0	196	6654	196	6654
Single-Family Attached	MA, 03302	Occupied	0	0.673423	0.326577	217	3996	217	3996
Single-Family Attached	MA, 03302	Vacant	1	0	0	8	224	99	2660
Single-Family Detached	MA, 03302	Occupied	0	0.787001	0.212999	141	2554	141	2554
Single-Family Detached	MA, 03302	Vacant	1	0	0	1	60	274	8497
Mobile Home	MA, 03303	Occupied	0	0.902044	0.0979556	0	0	281	5625
Mobile Home	MA, 03303	Vacant	1	0	0	0	0	10	309
Multi-Family with 2 - 4 Units	MA, 03303	Occupied	0	0.370047	0.629953	1210	26021	1210	26021
Multi-Family with 2 - 4 Units	MA, 03303	Vacant	1	0	0	98	2986	98	2986
Multi-Family with 5+ Units	MA, 03303	Occupied	0	0.228233	0.771767	718	14345	718	14345
Multi-Family with 5+ Units	MA, 03303	Vacant	1	0	0	58	1687	58	1687
Single-Family Attached	MA, 03303	Occupied	0	0.451594	0.548406	171	3481	171	3481
Single-Family Attached	MA, 03303	Vacant	1	0	0	10	289	10	289
Single-Family Detached	MA, 03303	Occupied	0	0.902044	0.0979556	281	5625	281	5625
Single-Family Detached	MA, 03303	Vacant	1	0	0	10	309	10	309
Mobile Home	MA, 03304	Occupied	0	0.798496	0.201504	5	72	215	4387
Mobile Home	MA, 03304	Vacant	1	0	0	0	0	13	307
Multi-Family with 2 - 4 Units	MA, 03304	Occupied	0	0.283118	0.716882	1022	22729	1022	22729
Multi-Family with 2 - 4 Units	MA, 03304	Vacant	1	0	0	119	2525	119	2525
Multi-Family with 5+ Units	MA, 03304	Occupied	0	0.0452209	0.954779	745	18288	745	18288
Multi-Family with 5+ Units	MA, 03304	Vacant	1	0	0	43	1214	43	1214
Single-Family Attached	MA, 03304	Occupied	0	0.311434	0.688566	226	4749	226	4749
Single-Family Attached	MA, 03304	Vacant	1	0	0	14	344	14	344
Single-Family Detached	MA, 03304	Occupied	0	0.811819	0.188181	210	4315	210	4315
Single-Family Detached	MA, 03304	Vacant	1	0	0	13	307	13	307
Mobile Home	MA, 03305	Occupied	0	0.939318	0.0606819	8	203	1076	18770
Mobile Home	MA, 03305	Vacant	1	0	0	2	69	25	752
Multi-Family with 2 - 4 Units	MA, 03305	Occupied	0	0.414999	0.585001	959	18935	959	18935
Multi-Family with 2 - 4 Units	MA, 03305	Vacant	1	0	0	39	1085	39	1085
Multi-Family with 5+ Units	MA, 03305	Occupied	0	0.249127	0.750873	543	12034	543	12034
Multi-Family with 5+ Units	MA, 03305	Vacant	1	0	0	15	532	15	532
Single-Family Attached	MA, 03305	Occupied	0	0.426563	0.573437	185	3983	185	3983
Single-Family Attached	MA, 03305	Vacant	1	0	0	5	191	99	2660
Single-Family Detached	MA, 03305	Occupied	0	0.93984	0.0601605	1068	18567	1068	18567
Single-Family Detached	MA, 03305	Vacant	1	0	0	23	683	23	683
Mobile Home	MA, 03306	Occupied	0	0	1	11	223	11	223
Mobile Home	MA, 03306	Vacant	1	0	0	2	35	13	428
Multi-Family with 2 - 4 Units	MA, 03306	Occupied	0	0.338771	0.661229	695	16920	695	16920
Multi-Family with 2 - 4 Units	MA, 03306	Vacant	1	0	0	44	1396	44	1396
Multi-Family with 5+ Units	MA, 03306	Occupied	0	0.174698	0.825302	595	12015	595	12015
Multi-Family with 5+ Units	MA, 03306	Vacant	1	0	0	18	560	18	560
Single-Family Attached	MA, 03306	Occupied	0	0.654516	0.345484	95	1838	95	1838
Single-Family Attached	MA, 03306	Vacant	1	0	0	4	127	464	15978
Single-Family Detached	MA, 03306	Occupied	0	0.878619	0.121381	500	9326	500	9326
Single-Family Detached	MA, 03306	Vacant	1	0	0	11	393	11	393
Mobile Home	MA, 03400	Occupied	0	0.926021	0.0739789	2	30	1389	22182
Mobile Home	MA, 03400	Vacant	1	0	0	1	34	34	1058
Multi-Family with 2 - 4 Units	MA, 03400	Occupied	0	0.474966	0.525034	629	11744	629	11744
Multi-Family with 2 - 4 Units	MA, 03400	Vacant	1	0	0	26	881	26	881
Multi-Family with 5+ Units	MA, 03400	Occupied	0	0.308125	0.691875	829	17415	829	17415
Multi-Family with 5+ Units	MA, 03400	Vacant	1	0	0	34	1387	34	1387
Single-Family Attached	MA, 03400	Occupied	0	0.643828	0.356172	215	3751	215	3751
Single-Family Attached	MA, 03400	Vacant	1	0	0	3	96	464	15978
Single-Family Detached	MA, 03400	Occupied	0	0.926643	0.0733568	1387	22152	1387	22152
Single-Family Detached	MA, 03400	Vacant	1	0	0	33	1024	33	1024
Mobile Home	MA, 03500	Occupied	0	0.946805	0.0531953	4	54	1832	30341
Mobile Home	MA, 03500	Vacant	1	0	0	1	43	49	1570
Multi-Family with 2 - 4 Units	MA, 03500	Occupied	0	0.363755	0.636245	80	1534	80	1534
Multi-Family with 2 - 4 Units	MA, 03500	Vacant	1	0	0	3	166	2604	88522
Multi-Family with 5+ Units	MA, 03500	Occupied	0	0.253506	0.746494	195	3708	195	3708
Multi-Family with 5+ Units	MA, 03500	Vacant	1	0	0	7	279	1791	67398
Single-Family Attached	MA, 03500	Occupied	0	0.78991	0.21009	81	1328	81	1328
Single-Family Attached	MA, 03500	Vacant	1	0	0	4	120	464	15978
Single-Family Detached	MA, 03500	Occupied	0	0.94671	0.0532902	1828	30287	1828	30287
Single-Family Detached	MA, 03500	Vacant	1	0	0	48	1527	48	1527
Mobile Home	MA, 03601	Occupied	0	0.962991	0.0370091	0	0	1805	34478
Mobile Home	MA, 03601	Vacant	1	0	0	0	0	23	821
Multi-Family with 2 - 4 Units	MA, 03601	Occupied	0	0.263649	0.736351	143	3535	143	3535
Multi-Family with 2 - 4 Units	MA, 03601	Vacant	1	0	0	6	255	2604	88522
Multi-Family with 5+ Units	MA, 03601	Occupied	0	0.184458	0.815542	246	6267	246	6267
Multi-Family with 5+ Units	MA, 03601	Vacant	1	0	0	8	323	1791	67398
Single-Family Attached	MA, 03601	Occupied	0	0.842314	0.157686	174	3526	174	3526
Single-Family Attached	MA, 03601	Vacant	1	0	0	5	201	464	15978
Single-Family Detached	MA, 03601	Occupied	0	0.962991	0.0370091	1805	34478	1805	34478
Single-Family Detached	MA, 03601	Vacant	1	0	0	23	821	23	821
Mobile Home	MA, 03602	Occupied	0	0.914027	0.0859729	10	221	10	221
Mobile Home	MA, 03602	Vacant	1	0	0	0	0	23	1064
Multi-Family with 2 - 4 Units	MA, 03602	Occupied	0	0.300298	0.699702	236	5378	236	5378
Multi-Family with 2 - 4 Units	MA, 03602	Vacant	1	0	0	12	393	12	393
Multi-Family with 5+ Units	MA, 03602	Occupied	0	0.185152	0.814848	386	9900	386	9900
Multi-Family with 5+ Units	MA, 03602	Vacant	1	0	0	17	665	17	665
Single-Family Attached	MA, 03602	Occupied	0	0.599298	0.400702	149	3419	149	3419
Single-Family Attached	MA, 03602	Vacant	1	0	0	3	139	464	15978
Single-Family Detached	MA, 03602	Occupied	0	0.953619	0.0463811	1404	28158	1404	28158
Single-Family Detached	MA, 03602	Vacant	1	0	0	23	1064	23	1064
Mobile Home	MA, 03603	Occupied	0	0.927684	0.0723163	4	109	1019	20438
Mobile Home	MA, 03603	Vacant	1	0	0	0	0	21	860
Multi-Family with 2 - 4 Units	MA, 03603	Occupied	0	0.258219	0.741781	435	10859	435	10859
Multi-Family with 2 - 4 Units	MA, 03603	Vacant	1	0	0	30	1082	30	1082
Multi-Family with 5+ Units	MA, 03603	Occupied	0	0.191104	0.808896	694	16457	694	16457
Multi-Family with 5+ Units	MA, 03603	Vacant	1	0	0	24	968	24	968
Single-Family Attached	MA, 03603	Occupied	0	0.611785	0.388215	121	2308	121	2308
Single-Family Attached	MA, 03603	Vacant	1	0	0	2	80	464	15978
Single-Family Detached	MA, 03603	Occupied	0	0.930789	0.0692115	1015	20329	1015	20329
Single-Family Detached	MA, 03603	Vacant	1	0	0	21	860	21	860
Mobile Home	MA, 03900	Occupied	0	0.949201	0.0507992	8	177	1811	34410
Mobile Home	MA, 03900	Vacant	1	0	0	0	0	46	1847
Multi-Family with 2 - 4 Units	MA, 03900	Occupied	0	0.261224	0.738776	198	4410	198	4410
Multi-Family with 2 - 4 Units	MA, 03900	Vacant	1	0	0	11	341	11	341
Multi-Family with 5+ Units	MA, 03900	Occupied	0	0.267657	0.732343	524	12927	524	12927
Multi-Family with 5+ Units	MA, 03900	Vacant	1	0	0	23	1110	23	1110
Single-Family Attached	MA, 03900	Occupied	0	0.590725	0.409275	121	2717	121	2717
Single-Family Attached	MA, 03900	Vacant	1	0	0	4	113	464	15978
Single-Family Detached	MA, 03900	Occupied	0	0.950574	0.049426	1803	34233	1803	34233
Single-Family Detached	MA, 03900	Vacant	1	0	0	46	1847	46	1847
Mobile Home	MA, 04000	Occupied	0	0.685535	0.314465	12	159	12	159
Mobile Home	MA, 04000	Vacant	1	0	0	0	0	30	932
Multi-Family with 2 - 4 Units	MA, 04000	Occupied	0	0.267004	0.732996	422	10674	422	10674
Multi-Family with 2 - 4 Units	MA, 04000	Vacant	1	0	0	39	1306	39	1306
Multi-Family with 5+ Units	MA, 04000	Occupied	0	0.109999	0.890001	389	8891	389	8891
Multi-Family with 5+ Units	MA, 04000	Vacant	1	0	0	21	614	21	614
Single-Family Attached	MA, 04000	Occupied	0	0.602001	0.397999	78	1799	78	1799
Single-Family Attached	MA, 04000	Vacant	1	0	0	2	31	464	15978
Single-Family Detached	MA, 04000	Occupied	0	0.936314	0.0636859	1335	22768	1335	22768
Single-Family Detached	MA, 04000	Vacant	1	0	0	30	932	30	932
Mobile Home	MA, 04200	Occupied	0	0.863158	0.136842	50	1425	50	1425
Mobile Home	MA, 04200	Vacant	1	0	0	2	127	31	1367
Multi-Family with 2 - 4 Units	MA, 04200	Occupied	0	0.267181	0.732819	268	6475	268	6475
Multi-Family with 2 - 4 Units	MA, 04200	Vacant	1	0	0	23	894	23	894
Multi-Family with 5+ Units	MA, 04200	Occupied	0	0.143826	0.856174	226	5604	226	5604
Multi-Family with 5+ Units	MA, 04200	Vacant	1	0	0	17	754	17	754
Single-Family Attached	MA, 04200	Occupied	0	0.71184	0.28816	83	2044	83	2044
Single-Family Attached	MA, 04200	Vacant	1	0	0	6	183	464	15978
Single-Family Detached	MA, 04200	Occupied	0	0.942237	0.0577631	1380	33395	1380	33395
Single-Family Detached	MA, 04200	Vacant	1	0	0	29	1240	29	1240
Mobile Home	MA, 04301	Occupied	0	0.779712	0.220288	53	1321	53	1321
Mobile Home	MA, 04301	Vacant	1	0	0	5	179	165	6233
Multi-Family with 2 - 4 Units	MA, 04301	Occupied	0	0.237474	0.762526	102	2914	102	2914
Multi-Family with 2 - 4 Units	MA, 04301	Vacant	1	0	0	5	260	2604	88522
Multi-Family with 5+ Units	MA, 04301	Occupied	0	0.0744911	0.925509	83	2309	83	2309
Multi-Family with 5+ Units	MA, 04301	Vacant	1	0	0	3	167	1791	67398
Single-Family Attached	MA, 04301	Occupied	0	0.641463	0.358537	44	820	44	820
Single-Family Attached	MA, 04301	Vacant	1	0	0	7	194	464	15978
Single-Family Detached	MA, 04301	Occupied	0	0.901009	0.098991	1676	34094	1676	34094
Single-Family Detached	MA, 04301	Vacant	1	0	0	160	6054	160	6054
Mobile Home	MA, 04302	Occupied	0	0.903215	0.0967847	3	50	816	15333
Mobile Home	MA, 04302	Vacant	1	0	0	1	31	17	558
Multi-Family with 2 - 4 Units	MA, 04302	Occupied	0	0.248195	0.751805	765	18143	765	18143
Multi-Family with 2 - 4 Units	MA, 04302	Vacant	1	0	0	80	2648	80	2648
Multi-Family with 5+ Units	MA, 04302	Occupied	0	0.0641898	0.93581	463	11170	463	11170
Multi-Family with 5+ Units	MA, 04302	Vacant	1	0	0	42	1379	42	1379
Single-Family Attached	MA, 04302	Occupied	0	0.6206	0.3794	45	767	45	767
Single-Family Attached	MA, 04302	Vacant	1	0	0	2	23	464	15978
Single-Family Detached	MA, 04302	Occupied	0	0.905451	0.0945495	813	15283	813	15283
Single-Family Detached	MA, 04302	Vacant	1	0	0	16	527	16	527
Mobile Home	MA, 04303	Occupied	0	0.928251	0.0717489	52	1338	52	1338
Mobile Home	MA, 04303	Vacant	1	0	0	3	126	18	732
Multi-Family with 2 - 4 Units	MA, 04303	Occupied	0	0.282335	0.717665	318	8497	318	8497
Multi-Family with 2 - 4 Units	MA, 04303	Vacant	1	0	0	25	1071	25	1071
Multi-Family with 5+ Units	MA, 04303	Occupied	0	0.220306	0.779694	270	6727	270	6727
Multi-Family with 5+ Units	MA, 04303	Vacant	1	0	0	13	593	13	593
Single-Family Attached	MA, 04303	Occupied	0	0.834881	0.165119	130	2907	130	2907
Single-Family Attached	MA, 04303	Vacant	1	0	0	3	144	464	15978
Single-Family Detached	MA, 04303	Occupied	0	0.939728	0.0602718	1369	28554	1369	28554
Single-Family Detached	MA, 04303	Vacant	1	0	0	15	606	15	606
Mobile Home	MA, 04500	Occupied	0	0.899418	0.100582	6	101	1111	17011
Mobile Home	MA, 04500	Vacant	1	0	0	0	0	51	1393
Multi-Family with 2 - 4 Units	MA, 04500	Occupied	0	0.224602	0.775398	990	18299	990	18299
Multi-Family with 2 - 4 Units	MA, 04500	Vacant	1	0	0	105	2491	105	2491
Multi-Family with 5+ Units	MA, 04500	Occupied	0	0.0519481	0.948052	489	9086	489	9086
Multi-Family with 5+ Units	MA, 04500	Vacant	1	0	0	22	527	22	527
Single-Family Attached	MA, 04500	Occupied	0	0.410633	0.589367	66	884	66	884
Single-Family Attached	MA, 04500	Vacant	1	0	0	3	83	464	15978
Single-Family Detached	MA, 04500	Occupied	0	0.901597	0.0984033	1105	16910	1105	16910
Single-Family Detached	MA, 04500	Vacant	1	0	0	51	1393	51	1393
Mobile Home	MA, 04700	Occupied	0	0.81383	0.18617	10	188	10	188
Mobile Home	MA, 04700	Vacant	1	0	0	1	17	565	20894
Multi-Family with 2 - 4 Units	MA, 04700	Occupied	0	0.289432	0.710568	176	3766	176	3766
Multi-Family with 2 - 4 Units	MA, 04700	Vacant	1	0	0	35	1220	35	1220
Multi-Family with 5+ Units	MA, 04700	Occupied	0	0.194451	0.805549	215	3965	215	3965
Multi-Family with 5+ Units	MA, 04700	Vacant	1	0	0	39	1322	39	1322
Single-Family Attached	MA, 04700	Occupied	0	0.752072	0.247928	152	2775	152	2775
Single-Family Attached	MA, 04700	Vacant	1	0	0	32	1106	32	1106
Single-Family Detached	MA, 04700	Occupied	0	0.88171	0.11829	2405	44712	2405	44712
Single-Family Detached	MA, 04700	Vacant	1	0	0	564	20877	564	20877
Mobile Home	MA, 04800	Occupied	0	0.872385	0.127615	8	88	2368	39956
Mobile Home	MA, 04800	Vacant	1	0	0	17	474	17	474
Multi-Family with 2 - 4 Units	MA, 04800	Occupied	0	0.323833	0.676167	200	4070	200	4070
Multi-Family with 2 - 4 Units	MA, 04800	Vacant	1	0	0	117	3580	117	3580
Multi-Family with 5+ Units	MA, 04800	Occupied	0	0.367687	0.632313	193	3299	193	3299
Multi-Family with 5+ Units	MA, 04800	Vacant	1	0	0	77	2470	77	2470
Single-Family Attached	MA, 04800	Occupied	0	0.629165	0.370835	126	2071	126	2071
Single-Family Attached	MA, 04800	Vacant	1	0	0	71	2134	71	2134
Single-Family Detached	MA, 04800	Occupied	0	0.873006	0.126994	2360	39868	2360	39868
Single-Family Detached	MA, 04800	Vacant	1	0	0	2133	55802	2133	55802
Mobile Home	MA, 04901	Occupied	0	0.883397	0.116603	42	789	42	789
Mobile Home	MA, 04901	Vacant	1	0	0	2	102	22	914
Multi-Family with 2 - 4 Units	MA, 04901	Occupied	0	0.272745	0.727255	227	5243	227	5243
Multi-Family with 2 - 4 Units	MA, 04901	Vacant	1	0	0	21	763	21	763
Multi-Family with 5+ Units	MA, 04901	Occupied	0	0.149582	0.850418	225	5502	225	5502
Multi-Family with 5+ Units	MA, 04901	Vacant	1	0	0	8	402	1791	67398
Single-Family Attached	MA, 04901	Occupied	0	0.80309	0.19691	174	3301	174	3301
Single-Family Attached	MA, 04901	Vacant	1	0	0	5	136	464	15978
Single-Family Detached	MA, 04901	Occupied	0	0.943129	0.0568707	1509	27923	1509	27923
Single-Family Detached	MA, 04901	Vacant	1	0	0	20	812	20	812
Mobile Home	MA, 04902	Occupied	0	0.96391	0.0360902	98	1995	98	1995
Mobile Home	MA, 04902	Vacant	1	0	0	5	186	48	1503
Multi-Family with 2 - 4 Units	MA, 04902	Occupied	0	0.323036	0.676964	84	2622	84	2622
Multi-Family with 2 - 4 Units	MA, 04902	Vacant	1	0	0	6	385	2604	88522
Multi-Family with 5+ Units	MA, 04902	Occupied	0	0.140476	0.859524	98	2520	98	2520
Multi-Family with 5+ Units	MA, 04902	Vacant	1	0	0	2	124	1791	67398
Single-Family Attached	MA, 04902	Occupied	0	0.813468	0.186532	73	1485	73	1485
Single-Family Attached	MA, 04902	Vacant	1	0	0	1	62	464	15978
Single-Family Detached	MA, 04902	Occupied	0	0.959436	0.040564	1720	32196	1720	32196
Single-Family Detached	MA, 04902	Vacant	1	0	0	43	1317	43	1317
Mobile Home	MA, 04903	Occupied	0	0.934359	0.065641	44	975	44	975
